extraction_key,extraction_type,exact_match_accuracy,partial_match_f1,value_extraction_accuracy,structural_understanding,original_chart_id,perturbation_type,intensity
chart_179_advanced_bar,original,0.0,0.15384615384615385,15.384615384615385,50.0,,,
chart_035_medium_line,original,0.0,0.4444444444444444,22.22222222222222,100.0,,,
chart_058_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_189_medium_pie,original,0.0,0.0,0.0,100.0,,,
chart_003_medium_bar,original,0.0,0.0,0.0,31.25,,,
chart_102_medium_line,original,0.0,0.0,0.0,66.66666666666666,,,
chart_196_advanced_scatter,original,0.0,0.35714285714285715,14.285714285714285,100.0,,,
chart_120_complex_pie,original,0.0,0.0,0.0,100.0,,,
chart_011_medium_scatter,original,0.0,0.0,0.0,92.85714285714286,,,
chart_192_complex_line,original,0.0,0.09090909090909091,9.090909090909092,100.0,,,
chart_153_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_064_complex_pie,original,0.0,0.0,0.0,100.0,,,
chart_190_advanced_line,original,0.0,0.10714285714285712,13.333333333333334,68.29268292682926,,,
chart_028_advanced_area,original,0.0,0.0,0.0,23.52941176470588,,,
chart_050_medium_pie,original,0.0,0.0,0.0,100.0,,,
chart_074_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_002_medium_bar,original,0.0,0.0,0.0,27.77777777777778,,,
chart_159_complex_line,original,0.0,0.25,16.666666666666664,100.0,,,
chart_167_advanced_area,original,0.0,0.05,0.0,16.666666666666664,,,
chart_045_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_195_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_162_complex_bar,original,0.0,0.0,0.0,13.157894736842104,,,
chart_002_medium_line,original,0.0,0.5,30.0,100.0,,,
chart_043_medium_pie,original,0.0,0.0,0.0,100.0,,,
chart_013_advanced_bar,original,0.0,0.23076923076923078,15.384615384615385,50.0,,,
chart_083_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_034_medium_line,original,0.0,0.19047619047619047,0.0,75.0,,,
chart_040_medium_area,original,0.0,0.0,0.0,30.0,,,
chart_147_complex_pie,original,0.0,0.0,0.0,100.0,,,
chart_156_complex_bar,original,0.0,0.4255319148936171,90.9090909090909,15.277777777777779,,,
chart_076_medium_area,original,0.0,0.5714285714285714,42.857142857142854,50.0,,,
chart_042_medium_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_158_medium_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_007_complex_line,original,0.0,0.20000000000000004,20.0,100.0,,,
chart_010_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_036_advanced_bar,original,0.0,0.0,0.0,20.833333333333336,,,
chart_067_advanced_scatter,original,0.0,0.09090909090909091,9.090909090909092,100.0,,,
chart_082_complex_line,original,0.0,0.2727272727272727,9.090909090909092,100.0,,,
chart_093_complex_area,original,0.0,0.4444444444444444,11.11111111111111,50.0,,,
chart_134_advanced_scatter,original,0.0,0.0,0.0,100.0,,,
chart_030_medium_bar,original,0.0,0.0,0.0,25.0,,,
chart_059_advanced_bar,original,0.0,0.30303030303030304,81.81818181818183,10.0,,,
chart_087_complex_scatter,original,0.0,0.0,0.0,100.0,,,
chart_104_advanced_line,original,0.0,0.14285714285714285,0.0,100.0,,,
chart_008_complex_pie,original,0.0,0.0,0.0,100.0,,,
chart_129_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_113_complex_bar,original,0.0,0.0,0.0,17.391304347826086,,,
chart_071_advanced_bar,original,0.0,0.04938271604938271,7.6923076923076925,9.558823529411764,,,
chart_122_advanced_scatter,original,0.0,1.0,83.33333333333334,100.0,,,
chart_109_advanced_bar,original,0.0,0.0,0.0,13.392857142857142,,,
chart_077_complex_area,original,0.0,0.25,8.333333333333332,50.0,,,
chart_144_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_062_advanced_line,original,0.0,0.15384615384615385,15.384615384615385,100.0,,,
chart_098_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_194_medium_line,original,0.0,0.25,12.5,100.0,,,
chart_108_medium_bar,original,0.0,0.0,0.0,25.0,,,
chart_124_medium_scatter,original,0.0,0.0,0.0,83.33333333333333,,,
chart_041_medium_line,original,0.0,0.0,0.0,75.0,,,
chart_001_complex_bar,original,0.0,0.0,0.0,11.11111111111111,,,
chart_200_complex_pie,original,0.0,0.0,0.0,100.0,,,
chart_193_medium_line,original,0.0,0.3333333333333333,33.33333333333333,75.0,,,
chart_014_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_128_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_117_medium_line,original,0.0,0.5,33.33333333333333,100.0,,,
chart_116_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_142_complex_line,original,0.0,0.3,20.0,100.0,,,
chart_165_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_078_complex_bar,original,0.0,0.2,50.0,12.5,,,
chart_118_medium_line,original,0.0,0.5,33.33333333333333,100.0,,,
chart_017_complex_scatter,original,0.0,0.0,0.0,100.0,,,
chart_012_advanced_line,original,0.0,0.0,0.0,95.83333333333333,,,
chart_177_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_140_medium_scatter,original,0.0,0.0,0.0,91.66666666666667,,,
chart_143_medium_pie,original,0.0,0.0,0.0,100.0,,,
chart_063_medium_line,original,0.0,0.0,0.0,75.0,,,
chart_160_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_111_medium_line,original,0.0,0.0,0.0,75.0,,,
chart_044_medium_bar,original,0.0,0.0,0.0,40.0,,,
chart_099_medium_line,original,0.0,0.5,16.666666666666664,100.0,,,
chart_132_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_052_advanced_area,original,0.0,0.0,0.0,50.0,,,
chart_138_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_110_complex_area,original,0.0,0.25,25.0,50.0,,,
chart_121_complex_scatter,original,0.0,0.0,0.0,100.0,,,
chart_170_complex_line,original,0.0,0.08333333333333333,8.333333333333332,100.0,,,
chart_119_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_176_medium_pie,original,0.0,0.0,0.0,100.0,,,
chart_031_complex_bar,original,0.0,0.0,0.0,18.75,,,
chart_125_medium_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_145_medium_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_080_medium_pie,original,0.0,0.0,0.0,100.0,,,
chart_175_advanced_bar,original,0.0,0.33333333333333337,90.9090909090909,10.0,,,
chart_061_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_081_complex_scatter,original,0.0,0.0,0.0,100.0,,,
chart_107_medium_scatter,original,0.0,0.0,0.0,81.25,,,
chart_100_complex_area,original,0.0,0.2727272727272727,9.090909090909092,50.0,,,
chart_155_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_070_medium_bar,original,0.0,0.0,0.0,25.0,,,
chart_025_medium_bar,original,0.0,0.0,0.0,25.0,,,
chart_184_complex_bar,original,0.0,0.30769230769230765,45.45454545454545,19.642857142857142,,,
chart_150_medium_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_049_advanced_bar,original,0.0,0.0,0.0,10.0,,,
chart_166_medium_bar,original,0.0,0.0,0.0,25.0,,,
chart_101_complex_pie,original,0.0,0.0,0.0,100.0,,,
chart_003_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_103_complex_scatter,original,0.0,0.0,0.0,100.0,,,
chart_027_complex_area,original,0.0,0.0,0.0,12.5,,,
chart_183_complex_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_097_medium_line,original,0.0,0.38095238095238093,42.857142857142854,75.0,,,
chart_096_medium_bar,original,0.0,0.0,0.0,25.0,,,
chart_172_medium_bar,original,0.0,0.0,0.0,16.666666666666664,,,
chart_130_complex_bar,original,0.0,0.0,0.0,12.5,,,
chart_174_complex_line,original,0.0,0.0,0.0,100.0,,,
chart_199_advanced_pie,original,0.0,0.0,0.0,100.0,,,
chart_133_medium_line,original,0.0,0.3,10.0,100.0,,,
chart_154_medium_area,original,0.0,0.4000000000000001,20.0,50.0,,,
chart_123_medium_line,original,0.0,0.1111111111111111,11.11111111111111,100.0,,,
chart_032_advanced_scatter,original,0.0,0.0,0.0,82.14285714285714,,,
chart_046_medium_line,original,0.0,0.16666666666666666,0.0,100.0,,,
chart_136_medium_bar,original,0.0,0.0,0.0,16.666666666666664,,,
