perturbation_file,original_chart_id,perturbation_type,intensity,is_extracted,confidence,data_points
chart_001_complex_bar_brightness_shift_medium.png,chart_001_complex_bar_brightness,shift,medium,True,high,27
chart_001_complex_bar_gaussian_blur_medium.png,chart_001_complex_bar_gaussian,blur,medium,True,high,27
chart_001_complex_bar_grayscale_conversion_medium.png,chart_001_complex_bar_grayscale,conversion,medium,False,not_extracted,0
chart_001_complex_bar_legend_corruption_medium.png,chart_001_complex_bar_legend,corruption,medium,True,high,27
chart_001_complex_bar_random_blocks_medium.png,chart_001_complex_bar_random,blocks,medium,True,high,27
chart_001_complex_bar_rotation_medium.png,chart_001_complex_bar,rotation,medium,True,high,27
chart_002_medium_bar_brightness_shift_medium.png,chart_002_medium_bar_brightness,shift,medium,True,high,18
chart_002_medium_bar_gaussian_blur_medium.png,chart_002_medium_bar_gaussian,blur,medium,True,high,18
chart_002_medium_bar_grayscale_conversion_medium.png,chart_002_medium_bar_grayscale,conversion,medium,False,not_extracted,0
chart_002_medium_bar_legend_corruption_medium.png,chart_002_medium_bar_legend,corruption,medium,True,high,15
chart_002_medium_bar_random_blocks_medium.png,chart_002_medium_bar_random,blocks,medium,True,low,0
chart_002_medium_bar_rotation_medium.png,chart_002_medium_bar,rotation,medium,True,high,18
chart_003_medium_bar_brightness_shift_medium.png,chart_003_medium_bar_brightness,shift,medium,True,high,16
chart_003_medium_bar_gaussian_blur_medium.png,chart_003_medium_bar_gaussian,blur,medium,True,high,16
chart_003_medium_bar_grayscale_conversion_medium.png,chart_003_medium_bar_grayscale,conversion,medium,False,not_extracted,0
chart_003_medium_bar_legend_corruption_medium.png,chart_003_medium_bar_legend,corruption,medium,True,medium,8
chart_003_medium_bar_random_blocks_medium.png,chart_003_medium_bar_random,blocks,medium,True,high,16
chart_003_medium_bar_rotation_medium.png,chart_003_medium_bar,rotation,medium,True,high,16
chart_004_complex_pie_brightness_shift_medium.png,chart_004_complex_pie_brightness,shift,medium,True,high,11
chart_004_complex_pie_gaussian_blur_medium.png,chart_004_complex_pie_gaussian,blur,medium,True,high,11
chart_004_complex_pie_grayscale_conversion_medium.png,chart_004_complex_pie_grayscale,conversion,medium,False,not_extracted,0
