Chart ID,Reason,Category
chart_000,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_004,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_026,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_161,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_124,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_049,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_103,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_097,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_075,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_091,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_180,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_146,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_047,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_139,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_029,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_135,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_115,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_009,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_065,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_178,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_086,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_089,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_022,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_095,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_182,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_191,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_084,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_181,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_037,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_168,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_085,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_185,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_038,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_069,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_148,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_112,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_054,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_105,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_188,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_164,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_048,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_141,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_198,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_152,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_127,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_057,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_053,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_021,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_005,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_006,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_106,Original extraction failed - No baseline for perturbation generation,Extraction Failure
chart_149,Original extraction failed - No baseline for perturbation generation,Extraction Failure
