extraction_key,chart_id,is_original,perturbation_type,intensity,status,file_exists,in_failure_log,json_valid,phase,meta_chart_title,meta_chart_type,meta_confidence,meta_completeness,meta_data_points,meta_timestamp,meta_model,meta_attempt,meta_response_time,failure_error_type,failure_error_message,failure_error_timestamp,failure_retry_attempt,failure_extraction_phase
chart_001_complex_bar_original,chart_001_complex_bar,True,none,none,success,True,False,True,phase2,Product Line Profitability - (Business Analytics),grouped_bar,high,complete,27.0,2025-07-29T19:15:59.725989,gpt-4o,1.0,26.217839002609253,,,,,
chart_002_medium_bar_original,chart_002_medium_bar,True,none,none,success,True,False,True,phase2,Customer Satisfaction Metrics - (Business Analytics),grouped_bar,high,complete,18.0,2025-07-29T19:16:12.853769,gpt-4o,1.0,12.11049199104309,,,,,
chart_003_medium_bar_original,chart_003_medium_bar,True,none,none,success,True,False,True,phase2,Regional Sales Comparison - (Business Analytics),grouped_bar,high,complete,16.0,2025-07-29T19:16:29.420964,gpt-4o,1.0,15.564084529876709,,,,,
chart_004_complex_pie_original,chart_004_complex_pie,True,none,none,success,True,False,True,phase2,Customer Satisfaction Metrics - (Business Analytics),pie,high,complete,11.0,2025-07-29T19:16:39.627285,gpt-4o,1.0,9.174011468887329,,,,,
chart_005_complex_bar_original,chart_005_complex_bar,True,none,none,success,True,False,True,phase2,Quarterly Performance Dashboard - (Business Analytics),grouped_bar,high,complete,21.0,2025-07-29T19:17:00.777098,gpt-4o,1.0,20.144054889678955,,,,,
chart_006_medium_bar_original,chart_006_medium_bar,True,none,none,success,True,False,True,phase2,Product Line Profitability - (Business Analytics),grouped_bar,high,complete,12.0,2025-07-29T19:17:12.083560,gpt-4o,1.0,10.293169975280762,,,,,
chart_007_medium_line_original,chart_007_medium_line,True,none,none,success,True,False,True,phase2,Product Line Profitability - (Business Analytics),line,medium,complete,10.0,2025-07-29T19:17:25.524402,gpt-4o,1.0,12.43860936164856,,,,,
chart_008_advanced_pie_original,chart_008_advanced_pie,True,none,none,success,True,False,True,phase2,Customer Satisfaction Metrics - (Business Analytics),pie,high,complete,10.0,2025-07-29T19:17:34.975469,gpt-4o,1.0,8.44287633895874,,,,,
chart_009_medium_bar_original,chart_009_medium_bar,True,none,none,success,True,False,True,phase2,Customer Satisfaction Metrics - (Business Analytics),grouped_bar,high,complete,16.0,2025-07-29T19:17:47.659189,gpt-4o,1.0,11.676142454147339,,,,,
chart_010_complex_bar_original,chart_010_complex_bar,True,none,none,success,True,False,True,phase2,Regional Sales Comparison - (Business Analytics),grouped_bar,high,complete,24.0,2025-07-29T19:18:11.958808,gpt-4o,1.0,23.293063163757324,,,,,
