Perturbed Key,Reason,Category,Perturbation Type
chart_097_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_095_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_025_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_153_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_003_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_006_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_148_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_103_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_120_complex_pie,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_113_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_102_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_086_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_050_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_177_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_042_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_070_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_179_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_053_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_055_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_044_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_011_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_005_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_059_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_060_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_040_medium_area,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_129_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_039_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_181_complex_pie,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_065_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_084_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_110_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_134_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_183_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
