Perturbed Key,Exclusion Reason
chart_179_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_035_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_058_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_189_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_003_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_102_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_196_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_120_complex_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_011_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_192_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_153_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_064_complex_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_190_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_028_advanced_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_050_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_074_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_002_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_159_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_167_advanced_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_045_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_195_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_162_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_002_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_043_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_013_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_083_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_034_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_040_medium_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_147_complex_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_156_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_076_medium_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_042_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_158_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_007_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_010_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_036_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_067_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_082_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_093_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_134_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_030_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_059_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_087_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_104_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_008_complex_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_129_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_113_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_071_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_122_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_109_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_077_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_144_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_062_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_098_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_194_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_108_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_124_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_041_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_001_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_200_complex_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_193_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_014_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_128_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_117_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_116_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_142_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_165_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_078_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_118_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_017_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_012_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_177_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_140_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_143_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_063_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_160_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_111_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_044_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_099_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_132_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_052_advanced_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_138_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_110_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_121_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_170_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_119_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_176_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_031_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_125_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_145_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_080_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_175_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_061_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_081_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_107_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_100_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_155_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_070_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_025_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_184_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_150_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_049_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_166_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_101_complex_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_003_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_103_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_027_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_183_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_097_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_096_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_172_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_130_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_174_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_199_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_133_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_154_medium_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_123_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_032_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_046_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_136_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_173_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_169_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_131_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_126_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_019_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_079_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_075_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
