Chart ID,Exclusion Reason
chart_000,Missing GPT-4V extraction result
chart_001,Missing GPT-4V extraction result
chart_002,Missing GPT-4V extraction result
chart_003,Missing GPT-4V extraction result
chart_004,Missing GPT-4V extraction result
chart_005,Missing GPT-4V extraction result
chart_006,Missing GPT-4V extraction result
chart_007,Missing GPT-4V extraction result
chart_008,Missing GPT-4V extraction result
chart_009,Missing GPT-4V extraction result
chart_010,Missing GPT-4V extraction result
chart_011,Missing GPT-4V extraction result
chart_012,Missing GPT-4V extraction result
chart_013,Missing GPT-4V extraction result
chart_014,Missing GPT-4V extraction result
chart_015,Missing GPT-4V extraction result
chart_016,Missing GPT-4V extraction result
chart_017,Missing GPT-4V extraction result
chart_018,Missing GPT-4V extraction result
chart_019,Missing GPT-4V extraction result
chart_020,Missing GPT-4V extraction result
chart_021,Missing GPT-4V extraction result
chart_022,Missing GPT-4V extraction result
chart_023,Missing GPT-4V extraction result
chart_024,Missing GPT-4V extraction result
chart_025,Missing GPT-4V extraction result
chart_026,Missing GPT-4V extraction result
chart_027,Missing GPT-4V extraction result
chart_028,Missing GPT-4V extraction result
chart_029,Missing GPT-4V extraction result
chart_030,Missing GPT-4V extraction result
chart_031,Missing GPT-4V extraction result
chart_032,Missing GPT-4V extraction result
chart_033,Missing GPT-4V extraction result
chart_034,Missing GPT-4V extraction result
chart_035,Missing GPT-4V extraction result
chart_036,Missing GPT-4V extraction result
chart_037,Missing GPT-4V extraction result
chart_038,Missing GPT-4V extraction result
chart_039,Missing GPT-4V extraction result
chart_040,Missing GPT-4V extraction result
chart_041,Missing GPT-4V extraction result
chart_042,Missing GPT-4V extraction result
chart_043,Missing GPT-4V extraction result
chart_044,Missing GPT-4V extraction result
chart_045,Missing GPT-4V extraction result
chart_046,Missing GPT-4V extraction result
chart_047,Missing GPT-4V extraction result
chart_048,Missing GPT-4V extraction result
chart_049,Missing GPT-4V extraction result
chart_050,Missing GPT-4V extraction result
chart_051,Missing GPT-4V extraction result
chart_052,Missing GPT-4V extraction result
chart_053,Missing GPT-4V extraction result
chart_054,Missing GPT-4V extraction result
chart_055,Missing GPT-4V extraction result
chart_056,Missing GPT-4V extraction result
chart_057,Missing GPT-4V extraction result
chart_058,Missing GPT-4V extraction result
chart_059,Missing GPT-4V extraction result
chart_060,Missing GPT-4V extraction result
chart_061,Missing GPT-4V extraction result
chart_062,Missing GPT-4V extraction result
chart_063,Missing GPT-4V extraction result
chart_064,Missing GPT-4V extraction result
chart_065,Missing GPT-4V extraction result
chart_066,Missing GPT-4V extraction result
chart_067,Missing GPT-4V extraction result
chart_068,Missing GPT-4V extraction result
chart_069,Missing GPT-4V extraction result
chart_070,Missing GPT-4V extraction result
chart_071,Missing GPT-4V extraction result
chart_072,Missing GPT-4V extraction result
chart_073,Missing GPT-4V extraction result
chart_074,Missing GPT-4V extraction result
chart_075,Missing GPT-4V extraction result
chart_076,Missing GPT-4V extraction result
chart_077,Missing GPT-4V extraction result
chart_078,Missing GPT-4V extraction result
chart_079,Missing GPT-4V extraction result
chart_080,Missing GPT-4V extraction result
chart_081,Missing GPT-4V extraction result
chart_082,Missing GPT-4V extraction result
chart_083,Missing GPT-4V extraction result
chart_084,Missing GPT-4V extraction result
chart_085,Missing GPT-4V extraction result
chart_086,Missing GPT-4V extraction result
chart_087,Missing GPT-4V extraction result
chart_088,Missing GPT-4V extraction result
chart_089,Missing GPT-4V extraction result
chart_090,Missing GPT-4V extraction result
chart_091,Missing GPT-4V extraction result
chart_092,Missing GPT-4V extraction result
chart_093,Missing GPT-4V extraction result
chart_094,Missing GPT-4V extraction result
chart_095,Missing GPT-4V extraction result
chart_096,Missing GPT-4V extraction result
chart_097,Missing GPT-4V extraction result
chart_098,Missing GPT-4V extraction result
chart_099,Missing GPT-4V extraction result
chart_100,Missing GPT-4V extraction result
chart_101,Missing GPT-4V extraction result
chart_102,Missing GPT-4V extraction result
chart_103,Missing GPT-4V extraction result
chart_104,Missing GPT-4V extraction result
chart_105,Missing GPT-4V extraction result
chart_106,Missing GPT-4V extraction result
chart_107,Missing GPT-4V extraction result
chart_108,Missing GPT-4V extraction result
chart_109,Missing GPT-4V extraction result
chart_110,Missing GPT-4V extraction result
chart_111,Missing GPT-4V extraction result
chart_112,Missing GPT-4V extraction result
chart_113,Missing GPT-4V extraction result
chart_114,Missing GPT-4V extraction result
chart_115,Missing GPT-4V extraction result
chart_116,Missing GPT-4V extraction result
chart_117,Missing GPT-4V extraction result
chart_118,Missing GPT-4V extraction result
chart_119,Missing GPT-4V extraction result
chart_120,Missing GPT-4V extraction result
chart_121,Missing GPT-4V extraction result
chart_122,Missing GPT-4V extraction result
chart_123,Missing GPT-4V extraction result
chart_124,Missing GPT-4V extraction result
chart_125,Missing GPT-4V extraction result
chart_126,Missing GPT-4V extraction result
chart_127,Missing GPT-4V extraction result
chart_128,Missing GPT-4V extraction result
chart_129,Missing GPT-4V extraction result
chart_130,Missing GPT-4V extraction result
chart_131,Missing GPT-4V extraction result
chart_132,Missing GPT-4V extraction result
chart_133,Missing GPT-4V extraction result
chart_134,Missing GPT-4V extraction result
chart_135,Missing GPT-4V extraction result
chart_136,Missing GPT-4V extraction result
chart_137,Missing GPT-4V extraction result
chart_138,Missing GPT-4V extraction result
chart_139,Missing GPT-4V extraction result
chart_140,Missing GPT-4V extraction result
chart_141,Missing GPT-4V extraction result
chart_142,Missing GPT-4V extraction result
chart_143,Missing GPT-4V extraction result
chart_144,Missing GPT-4V extraction result
chart_145,Missing GPT-4V extraction result
chart_146,Missing GPT-4V extraction result
chart_147,Missing GPT-4V extraction result
chart_148,Missing GPT-4V extraction result
chart_149,Missing GPT-4V extraction result
chart_150,Missing GPT-4V extraction result
chart_151,Missing GPT-4V extraction result
chart_152,Missing GPT-4V extraction result
chart_153,Missing GPT-4V extraction result
chart_154,Missing GPT-4V extraction result
chart_155,Missing GPT-4V extraction result
chart_156,Missing GPT-4V extraction result
chart_157,Missing GPT-4V extraction result
chart_158,Missing GPT-4V extraction result
chart_159,Missing GPT-4V extraction result
chart_160,Missing GPT-4V extraction result
chart_161,Missing GPT-4V extraction result
chart_162,Missing GPT-4V extraction result
chart_163,Missing GPT-4V extraction result
chart_164,Missing GPT-4V extraction result
chart_165,Missing GPT-4V extraction result
chart_166,Missing GPT-4V extraction result
chart_167,Missing GPT-4V extraction result
chart_168,Missing GPT-4V extraction result
chart_169,Missing GPT-4V extraction result
chart_170,Missing GPT-4V extraction result
chart_171,Missing GPT-4V extraction result
chart_172,Missing GPT-4V extraction result
chart_173,Missing GPT-4V extraction result
chart_174,Missing GPT-4V extraction result
chart_175,Missing GPT-4V extraction result
chart_176,Missing GPT-4V extraction result
chart_177,Missing GPT-4V extraction result
chart_178,Missing GPT-4V extraction result
chart_179,Missing GPT-4V extraction result
chart_180,Missing GPT-4V extraction result
chart_181,Missing GPT-4V extraction result
chart_182,Missing GPT-4V extraction result
chart_183,Missing GPT-4V extraction result
