extraction_key,original_chart_id,matched_original_key,perturbation_type,intensity,perturbed_exact_match,perturbed_f1,perturbed_value_accuracy,perturbed_structural,original_exact_match,original_f1,original_value_accuracy,original_structural,dri_exact_match,dri_f1,dri_value_accuracy,dri_structural,composite_dri
chart_179_advanced_bar_rotation_low,chart_179,chart_179_advanced_bar,rotation,low,0.0,0.23076923076923078,7.6923076923076925,50.0,0.0,0.15384615384615385,15.384615384615385,50.0,1.0,1.0,0.5,1.0,0.875
chart_156_complex_bar_rotation_high,chart_156,chart_156_complex_bar,rotation,high,0.0,0.0,0.0,12.5,0.0,0.4255319148936171,90.9090909090909,15.277777777777779,1.0,0.0,0.0,0.8181818181818181,0.45454545454545453
chart_062_advanced_line_legend_corruption_medium,chart_062,chart_062_advanced_line,corruption,medium,0.0,0.24000000000000002,23.076923076923077,96.15384615384616,0.0,0.15384615384615385,15.384615384615385,100.0,1.0,1.0,1.0,0.9615384615384616,0.9903846153846154
chart_123_medium_line_brightness_shift_medium,chart_123,chart_123_medium_line,shift,medium,0.0,0.1111111111111111,11.11111111111111,100.0,0.0,0.1111111111111111,11.11111111111111,100.0,1.0,1.0,1.0,1.0,1.0
chart_016_medium_area_brightness_shift_medium,chart_016,chart_016_medium_area,shift,medium,0.0,0.5555555555555556,33.33333333333333,50.0,0.0,0.7777777777777778,44.44444444444444,50.0,1.0,0.7142857142857143,0.75,1.0,0.8660714285714286
chart_064_complex_pie_gaussian_blur_high,chart_064,chart_064_complex_pie,blur,high,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_036_advanced_bar_gaussian_blur_medium,chart_036,chart_036_advanced_bar,blur,medium,0.0,0.0,0.0,20.833333333333336,0.0,0.0,0.0,20.833333333333336,1.0,1.0,1.0,1.0,1.0
chart_177_complex_bar_gaussian_blur_medium,chart_177,chart_177_complex_bar,blur,medium,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0
chart_007_complex_line_brightness_shift_high,chart_007,chart_007_complex_line,shift,high,0.0,0.20000000000000004,20.0,100.0,0.0,0.20000000000000004,20.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_111_medium_line_brightness_shift_medium,chart_111,chart_111_medium_line,shift,medium,0.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,1.0,1.0,1.0,1.0,1.0
chart_032_advanced_scatter_rotation_medium,chart_032,chart_032_advanced_scatter,rotation,medium,0.0,0.0,0.0,82.14285714285714,0.0,0.0,0.0,82.14285714285714,1.0,1.0,1.0,1.0,1.0
chart_158_medium_bar_random_blocks_medium,chart_158,chart_158_medium_bar,blocks,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,0.0,0.75
chart_067_advanced_scatter_random_blocks_medium,chart_067,chart_067_advanced_scatter,blocks,medium,0.0,0.36363636363636365,36.36363636363637,100.0,0.0,0.09090909090909091,9.090909090909092,100.0,1.0,1.0,1.0,1.0,1.0
chart_002_medium_line_gaussian_blur_medium,chart_002,chart_002_medium_line,blur,medium,0.0,0.3,10.0,100.0,0.0,0.5,30.0,100.0,1.0,0.6,0.33333333333333337,1.0,0.7333333333333334
chart_093_complex_area_brightness_shift_medium,chart_093,chart_093_complex_area,shift,medium,0.0,0.2222222222222222,11.11111111111111,50.0,0.0,0.4444444444444444,11.11111111111111,50.0,1.0,0.5,1.0,1.0,0.875
chart_092_advanced_scatter_gaussian_blur_medium,chart_092,chart_092_advanced_scatter,blur,medium,0.0,0.3333333333333333,6.666666666666667,100.0,0.0,0.20000000000000004,6.666666666666667,100.0,1.0,1.0,1.0,1.0,1.0
chart_066_advanced_bar_random_blocks_medium,chart_066,chart_066_advanced_bar,blocks,medium,0.0,0.3076923076923077,15.384615384615385,50.0,0.0,0.46153846153846156,38.46153846153847,50.0,1.0,0.6666666666666667,0.4,1.0,0.7666666666666667
chart_104_advanced_line_rotation_medium,chart_104,chart_104_advanced_line,rotation,medium,0.0,0.35714285714285715,21.428571428571427,100.0,0.0,0.14285714285714285,0.0,100.0,1.0,1.0,0.0,1.0,0.75
chart_125_medium_bar_rotation_medium,chart_125,chart_125_medium_bar,rotation,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_129_complex_bar_brightness_shift_low,chart_129,chart_129_complex_bar,shift,low,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0
chart_200_complex_pie_random_blocks_medium,chart_200,chart_200_complex_pie,blocks,medium,0.0,0.10000000000000002,10.0,100.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.5
chart_074_complex_bar_gaussian_blur_medium,chart_074,chart_074_complex_bar,blur,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_098_complex_bar_rotation_medium,chart_098,chart_098_complex_bar,rotation,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_010_advanced_pie_gaussian_blur_high,chart_010,chart_010_advanced_pie,blur,high,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_131_complex_bar_legend_corruption_medium,chart_131,chart_131_complex_bar,corruption,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_101_complex_pie_brightness_shift_medium,chart_101,chart_101_complex_pie,shift,medium,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_107_medium_scatter_brightness_shift_medium,chart_107,chart_107_medium_scatter,shift,medium,0.0,0.0,0.0,93.75,0.0,0.0,0.0,81.25,1.0,1.0,1.0,1.0,1.0
chart_102_medium_line_rotation_medium,chart_102,chart_102_medium_line,rotation,medium,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,66.66666666666666,1.0,1.0,1.0,1.0,1.0
chart_050_medium_pie_brightness_shift_low,chart_050,chart_050_medium_pie,shift,low,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_025_medium_bar_legend_corruption_medium,chart_025,chart_025_medium_bar,corruption,medium,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,1.0,1.0,1.0,1.0,1.0
chart_023_medium_scatter_gaussian_blur_medium,chart_023,chart_023_medium_scatter,blur,medium,0.0,0.0,0.0,85.0,0.0,0.0,0.0,85.0,1.0,1.0,1.0,1.0,1.0
chart_175_advanced_bar_legend_corruption_medium,chart_175,chart_175_advanced_bar,corruption,medium,0.0,0.32786885245901637,81.81818181818183,11.0,0.0,0.33333333333333337,90.9090909090909,10.0,1.0,0.983606557377049,0.9000000000000001,1.0,0.9709016393442622
chart_199_advanced_pie_legend_corruption_medium,chart_199,chart_199_advanced_pie,corruption,medium,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_064_complex_pie_rotation_low,chart_064,chart_064_complex_pie,rotation,low,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_096_medium_bar_gaussian_blur_medium,chart_096,chart_096_medium_bar,blur,medium,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,1.0,1.0,1.0,1.0,1.0
chart_190_advanced_line_rotation_high,chart_190,chart_190_advanced_line,rotation,high,0.0,0.13333333333333333,6.666666666666667,100.0,0.0,0.10714285714285712,13.333333333333334,68.29268292682926,1.0,1.0,0.5,1.0,0.875
chart_064_complex_pie_gaussian_blur_low,chart_064,chart_064_complex_pie,blur,low,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_070_medium_bar_random_blocks_medium,chart_070,chart_070_medium_bar,blocks,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,1.0,0.0,0.75
chart_123_medium_line_gaussian_blur_medium,chart_123,chart_123_medium_line,blur,medium,0.0,0.6666666666666666,66.66666666666666,100.0,0.0,0.1111111111111111,11.11111111111111,100.0,1.0,1.0,1.0,1.0,1.0
chart_023_medium_scatter_brightness_shift_medium,chart_023,chart_023_medium_scatter,shift,medium,0.0,0.0,0.0,90.0,0.0,0.0,0.0,85.0,1.0,1.0,1.0,1.0,1.0
chart_101_complex_pie_gaussian_blur_medium,chart_101,chart_101_complex_pie,blur,medium,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_145_medium_bar_rotation_medium,chart_145,chart_145_medium_bar,rotation,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_042_medium_bar_brightness_shift_high,chart_042,chart_042_medium_bar,shift,high,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_012_advanced_line_rotation_medium,chart_012,chart_012_advanced_line,rotation,medium,0.0,0.0,0.0,86.66666666666667,0.0,0.0,0.0,95.83333333333333,1.0,1.0,1.0,0.9043478260869566,0.9760869565217392
chart_034_medium_line_brightness_shift_medium,chart_034,chart_034_medium_line,shift,medium,0.0,0.42857142857142855,0.0,100.0,0.0,0.19047619047619047,0.0,75.0,1.0,1.0,1.0,1.0,1.0
chart_034_medium_line_brightness_shift_low,chart_034,chart_034_medium_line,shift,low,0.0,0.38095238095238093,0.0,75.0,0.0,0.19047619047619047,0.0,75.0,1.0,1.0,1.0,1.0,1.0
chart_162_complex_bar_gaussian_blur_high,chart_162,chart_162_complex_bar,blur,high,0.0,0.3,30.0,50.0,0.0,0.0,0.0,13.157894736842104,1.0,0.0,0.0,1.0,0.5
chart_183_complex_bar_rotation_medium,chart_183,chart_183_complex_bar,rotation,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_128_complex_bar_random_blocks_medium,chart_128,chart_128_complex_bar,blocks,medium,0.0,0.0,0.0,14.0625,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0
chart_158_medium_bar_brightness_shift_medium,chart_158,chart_158_medium_bar,shift,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_122_advanced_scatter_gaussian_blur_medium,chart_122,chart_122_advanced_scatter,blur,medium,0.0,1.0,83.33333333333334,100.0,0.0,1.0,83.33333333333334,100.0,1.0,1.0,1.0,1.0,1.0
chart_156_complex_bar_brightness_shift_high,chart_156,chart_156_complex_bar,shift,high,0.0,0.0,0.0,12.5,0.0,0.4255319148936171,90.9090909090909,15.277777777777779,1.0,0.0,0.0,0.8181818181818181,0.45454545454545453
chart_019_advanced_scatter_rotation_medium,chart_019,chart_019_advanced_scatter,rotation,medium,0.0,0.0,0.0,80.0,0.0,0.7499999999999999,20.0,80.0,1.0,0.0,0.0,1.0,0.5
chart_043_medium_pie_random_blocks_medium,chart_043,chart_043_medium_pie,blocks,medium,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_136_medium_bar_brightness_shift_medium,chart_136,chart_136_medium_bar,shift,medium,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_195_advanced_pie_gaussian_blur_high,chart_195,chart_195_advanced_pie,blur,high,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_072_advanced_line_rotation_medium,chart_072,chart_072_advanced_line,rotation,medium,0.0,0.7,60.0,50.0,0.0,0.6,50.0,100.0,1.0,1.0,1.0,0.5,0.875
chart_126_complex_line_legend_corruption_medium,chart_126,chart_126_complex_line,corruption,medium,0.0,0.5,12.5,100.0,0.0,0.625,25.0,100.0,1.0,0.8,0.5,1.0,0.825
chart_007_complex_line_legend_corruption_medium,chart_007,chart_007_complex_line,corruption,medium,0.0,0.33333333333333326,20.0,90.0,0.0,0.20000000000000004,20.0,100.0,1.0,1.0,1.0,0.9,0.975
chart_050_medium_pie_rotation_medium,chart_050,chart_050_medium_pie,rotation,medium,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_194_medium_line_brightness_shift_medium,chart_194,chart_194_medium_line,shift,medium,0.0,0.125,12.5,100.0,0.0,0.25,12.5,100.0,1.0,0.5,1.0,1.0,0.875
chart_104_advanced_line_legend_corruption_medium,chart_104,chart_104_advanced_line,corruption,medium,0.0,0.14285714285714285,0.0,100.0,0.0,0.14285714285714285,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_045_complex_bar_random_blocks_medium,chart_045,chart_045_complex_bar,blocks,medium,0.0,0.36363636363636365,27.27272727272727,50.0,0.0,0.0,0.0,16.666666666666664,1.0,0.0,0.0,1.0,0.5
chart_019_advanced_scatter_random_blocks_medium,chart_019,chart_019_advanced_scatter,blocks,medium,0.0,0.0,0.0,80.0,0.0,0.7499999999999999,20.0,80.0,1.0,0.0,0.0,1.0,0.5
chart_153_advanced_pie_legend_corruption_medium,chart_153,chart_153_advanced_pie,corruption,medium,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0
chart_136_medium_bar_legend_corruption_medium,chart_136,chart_136_medium_bar,corruption,medium,0.0,0.0,0.0,19.444444444444446,0.0,0.0,0.0,16.666666666666664,1.0,1.0,1.0,1.0,1.0
chart_013_advanced_bar_legend_corruption_medium,chart_013,chart_013_advanced_bar,corruption,medium,0.0,0.07692307692307693,7.6923076923076925,50.0,0.0,0.23076923076923078,15.384615384615385,50.0,1.0,0.33333333333333337,0.5,1.0,0.7083333333333334
chart_190_advanced_line_rotation_low,chart_190,chart_190_advanced_line,rotation,low,0.0,0.3333333333333333,26.666666666666668,100.0,0.0,0.10714285714285712,13.333333333333334,68.29268292682926,1.0,1.0,1.0,1.0,1.0
chart_027_complex_area_random_blocks_medium,chart_027,chart_027_complex_area,blocks,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,1.0,1.0,0.0,0.75
chart_090_complex_area_brightness_shift_medium,chart_090,chart_090_complex_area,shift,medium,0.0,0.5454545454545454,36.36363636363637,100.0,0.0,0.36363636363636365,27.27272727272727,100.0,1.0,1.0,1.0,1.0,1.0
