Filename,Chart ID,Complexity,Chart Type,Perturbation Type,Intensity,Has Extraction,Extraction Status,Was Evaluated
chart_001_complex_bar_axis_degradation_medium,chart_001,complex,bar,axis_degradation,medium,False,No extraction found,False
chart_001_complex_bar_brightness_shift_medium,chart_001,complex,bar,brightness_shift,medium,False,No extraction found,False
chart_001_complex_bar_contrast_change_medium,chart_001,complex,bar,contrast_change,medium,False,No extraction found,False
chart_001_complex_bar_grayscale_conversion_medium,chart_001,complex,bar,grayscale_conversion,medium,False,No extraction found,False
chart_001_complex_bar_motion_blur_medium,chart_001,complex,bar,motion_blur,medium,False,No extraction found,False
chart_001_complex_bar_random_blocks_medium,chart_001,complex,bar,random_blocks,medium,False,No extraction found,False
chart_001_complex_bar_salt_pepper_noise_medium,chart_001,complex,bar,salt_pepper_noise,medium,False,No extraction found,False
chart_001_complex_bar_scaling_medium,chart_001,complex,bar,scaling,medium,False,No extraction found,False
chart_001_complex_bar_text_overlay_medium,chart_001,complex,bar,text_overlay,medium,False,No extraction found,False
chart_002_medium_line_axis_degradation_medium,chart_002,medium,line,axis_degradation,medium,False,No extraction found,False
chart_002_medium_line_contrast_change_medium,chart_002,medium,line,contrast_change,medium,False,No extraction found,False
chart_002_medium_line_grayscale_conversion_medium,chart_002,medium,line,grayscale_conversion,medium,False,No extraction found,False
chart_002_medium_line_motion_blur_medium,chart_002,medium,line,motion_blur,medium,False,No extraction found,False
chart_002_medium_line_rotation_medium,chart_002,medium,line,rotation,medium,False,No extraction found,False
chart_002_medium_line_salt_pepper_noise_medium,chart_002,medium,line,salt_pepper_noise,medium,False,No extraction found,False
chart_002_medium_line_scaling_medium,chart_002,medium,line,scaling,medium,False,No extraction found,False
chart_002_medium_line_text_overlay_medium,chart_002,medium,line,text_overlay,medium,False,No extraction found,False
chart_003_medium_bar_axis_degradation_medium,chart_003,medium,bar,axis_degradation,medium,False,No extraction found,False
chart_003_medium_bar_contrast_change_medium,chart_003,medium,bar,contrast_change,medium,False,No extraction found,False
chart_003_medium_bar_grayscale_conversion_medium,chart_003,medium,bar,grayscale_conversion,medium,False,No extraction found,False
chart_003_medium_bar_motion_blur_medium,chart_003,medium,bar,motion_blur,medium,False,No extraction found,False
chart_003_medium_bar_rotation_medium,chart_003,medium,bar,rotation,medium,False,No extraction found,False
chart_003_medium_bar_salt_pepper_noise_medium,chart_003,medium,bar,salt_pepper_noise,medium,False,No extraction found,False
chart_003_medium_bar_scaling_medium,chart_003,medium,bar,scaling,medium,False,No extraction found,False
chart_003_medium_bar_text_overlay_medium,chart_003,medium,bar,text_overlay,medium,False,No extraction found,False
chart_007_complex_line_axis_degradation_medium,chart_007,complex,line,axis_degradation,medium,False,No extraction found,False
chart_007_complex_line_contrast_change_medium,chart_007,complex,line,contrast_change,medium,False,No extraction found,False
chart_007_complex_line_grayscale_conversion_medium,chart_007,complex,line,grayscale_conversion,medium,False,No extraction found,False
chart_007_complex_line_motion_blur_medium,chart_007,complex,line,motion_blur,medium,False,No extraction found,False
chart_007_complex_line_rotation_medium,chart_007,complex,line,rotation,medium,False,No extraction found,False
chart_007_complex_line_salt_pepper_noise_medium,chart_007,complex,line,salt_pepper_noise,medium,False,No extraction found,False
chart_007_complex_line_scaling_medium,chart_007,complex,line,scaling,medium,False,No extraction found,False
chart_007_complex_line_text_overlay_medium,chart_007,complex,line,text_overlay,medium,False,No extraction found,False
chart_008_complex_pie_axis_degradation_medium,chart_008,complex,pie,axis_degradation,medium,False,No extraction found,False
chart_008_complex_pie_brightness_shift_medium,chart_008,complex,pie,brightness_shift,medium,False,No extraction found,False
chart_008_complex_pie_contrast_change_medium,chart_008,complex,pie,contrast_change,medium,False,No extraction found,False
chart_008_complex_pie_grayscale_conversion_medium,chart_008,complex,pie,grayscale_conversion,medium,False,No extraction found,False
chart_008_complex_pie_motion_blur_medium,chart_008,complex,pie,motion_blur,medium,False,No extraction found,False
chart_008_complex_pie_salt_pepper_noise_medium,chart_008,complex,pie,salt_pepper_noise,medium,False,No extraction found,False
chart_008_complex_pie_scaling_medium,chart_008,complex,pie,scaling,medium,False,No extraction found,False
chart_008_complex_pie_text_overlay_medium,chart_008,complex,pie,text_overlay,medium,False,No extraction found,False
chart_010_advanced_pie_axis_degradation_medium,chart_010,advanced,pie,axis_degradation,medium,False,No extraction found,False
chart_010_advanced_pie_contrast_change_medium,chart_010,advanced,pie,contrast_change,medium,False,No extraction found,False
chart_010_advanced_pie_gaussian_blur_medium,chart_010,advanced,pie,gaussian_blur,medium,False,No extraction found,False
chart_010_advanced_pie_grayscale_conversion_medium,chart_010,advanced,pie,grayscale_conversion,medium,False,No extraction found,False
chart_010_advanced_pie_legend_corruption_medium,chart_010,advanced,pie,legend_corruption,medium,False,No extraction found,False
chart_010_advanced_pie_motion_blur_medium,chart_010,advanced,pie,motion_blur,medium,False,No extraction found,False
chart_010_advanced_pie_salt_pepper_noise_medium,chart_010,advanced,pie,salt_pepper_noise,medium,False,No extraction found,False
chart_010_advanced_pie_scaling_medium,chart_010,advanced,pie,scaling,medium,False,No extraction found,False
chart_010_advanced_pie_text_overlay_medium,chart_010,advanced,pie,text_overlay,medium,False,No extraction found,False
chart_011_medium_scatter_axis_degradation_medium,chart_011,medium,scatter,axis_degradation,medium,False,No extraction found,False
chart_011_medium_scatter_brightness_shift_medium,chart_011,medium,scatter,brightness_shift,medium,False,No extraction found,False
chart_011_medium_scatter_contrast_change_medium,chart_011,medium,scatter,contrast_change,medium,False,No extraction found,False
chart_011_medium_scatter_grayscale_conversion_medium,chart_011,medium,scatter,grayscale_conversion,medium,False,No extraction found,False
chart_011_medium_scatter_legend_corruption_medium,chart_011,medium,scatter,legend_corruption,medium,False,No extraction found,False
chart_011_medium_scatter_motion_blur_medium,chart_011,medium,scatter,motion_blur,medium,False,No extraction found,False
chart_011_medium_scatter_random_blocks_medium,chart_011,medium,scatter,random_blocks,medium,False,No extraction found,False
chart_011_medium_scatter_rotation_medium,chart_011,medium,scatter,rotation,medium,False,No extraction found,False
chart_011_medium_scatter_salt_pepper_noise_medium,chart_011,medium,scatter,salt_pepper_noise,medium,False,No extraction found,False
chart_011_medium_scatter_scaling_medium,chart_011,medium,scatter,scaling,medium,False,No extraction found,False
chart_011_medium_scatter_text_overlay_medium,chart_011,medium,scatter,text_overlay,medium,False,No extraction found,False
chart_012_advanced_line_axis_degradation_medium,chart_012,advanced,line,axis_degradation,medium,False,No extraction found,False
chart_012_advanced_line_brightness_shift_medium,chart_012,advanced,line,brightness_shift,medium,False,No extraction found,False
chart_012_advanced_line_contrast_change_medium,chart_012,advanced,line,contrast_change,medium,False,No extraction found,False
chart_012_advanced_line_gaussian_blur_medium,chart_012,advanced,line,gaussian_blur,medium,False,No extraction found,False
chart_012_advanced_line_grayscale_conversion_medium,chart_012,advanced,line,grayscale_conversion,medium,False,No extraction found,False
chart_012_advanced_line_motion_blur_medium,chart_012,advanced,line,motion_blur,medium,False,No extraction found,False
chart_012_advanced_line_random_blocks_medium,chart_012,advanced,line,random_blocks,medium,False,No extraction found,False
chart_012_advanced_line_salt_pepper_noise_medium,chart_012,advanced,line,salt_pepper_noise,medium,False,No extraction found,False
chart_012_advanced_line_scaling_medium,chart_012,advanced,line,scaling,medium,False,No extraction found,False
chart_012_advanced_line_text_overlay_medium,chart_012,advanced,line,text_overlay,medium,False,No extraction found,False
chart_013_advanced_bar_axis_degradation_medium,chart_013,advanced,bar,axis_degradation,medium,False,No extraction found,False
chart_013_advanced_bar_contrast_change_medium,chart_013,advanced,bar,contrast_change,medium,False,No extraction found,False
