Perturbed Key,Reason,Evidence,Category,Perturbation Type
chart_179_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_035_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_058_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_189_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_003_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_102_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_196_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_120_complex_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_011_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_192_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_153_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_064_complex_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_190_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_028_advanced_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_050_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_074_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_002_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_159_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_167_advanced_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_045_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_195_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_162_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_002_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_043_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_013_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_083_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_034_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_040_medium_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_147_complex_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_156_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_076_medium_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_042_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_158_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_007_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_010_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_036_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_067_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_082_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_093_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_134_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_030_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_059_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_087_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_104_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_008_complex_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_129_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_113_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_071_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_122_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_109_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_077_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_144_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_062_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_098_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_194_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_108_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_124_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_041_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_001_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_200_complex_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_193_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_014_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_128_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_117_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_116_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_142_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_165_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_078_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_118_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_017_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_012_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_177_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_140_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_143_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_063_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_160_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_111_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_044_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_099_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_132_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_052_advanced_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_138_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_110_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_121_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_170_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_119_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_176_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_031_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_125_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_145_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_080_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_175_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_061_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_081_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_107_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_100_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_155_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_070_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_025_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_184_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_150_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_049_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_166_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_101_complex_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_003_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_103_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_027_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_183_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_097_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_096_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_172_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_130_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_174_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_199_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_133_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_154_medium_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_123_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_032_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_046_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_136_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_173_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_169_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_131_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_126_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_019_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_079_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_075_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_016_medium_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_066_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_051_advanced_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_088_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_092_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_039_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_091_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_114_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_163_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_157_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_023_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_180_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_146_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_072_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_056_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_151_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_015_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_047_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_090_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_073_medium_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_139_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_018_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_094_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_029_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_135_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_115_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_009_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_065_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_178_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_086_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_089_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_022_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_095_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_182_advanced_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_191_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_084_medium_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_181_complex_pie,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_037_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_168_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_085_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_185_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_038_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_001_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_069_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_148_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_112_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_054_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_105_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_188_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_164_advanced_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_048_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_141_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_198_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_152_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_127_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_057_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_053_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_021_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_005_complex_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_006_advanced_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_106_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_149_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_020_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_137_medium_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_197_complex_area,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_171_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_024_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_186_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_033_medium_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_055_complex_line,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
chart_060_advanced_bar,Missing data field,"Keys: ['type', 'file_path']",Missing Data,advanced
chart_068_medium_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,medium
chart_187_complex_scatter,Missing data field,"Keys: ['type', 'file_path']",Missing Data,complex
[Missing perturbation 1],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 2],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 3],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 4],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 5],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 6],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 7],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 8],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 9],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 10],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 11],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 12],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 13],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 14],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 15],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 16],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 17],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 18],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 19],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 20],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 21],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 22],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 23],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 24],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 25],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 26],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 27],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 28],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 29],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 30],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 31],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
